SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
22667,"001","1","Samsonite","Basic Set","1965","Gears",,43,,4.95,,,"https://images.brickset.com/sets/images/001-1.jpg",90,53
22683,"1","3","Samsonite","Basic Set","1967","Promotional Set No. 1 (Kraft Velveeta)",,74,,1,,,"https://images.brickset.com/sets/images/1-3.jpg",11,30
7465,"1","7","Universal Building Set","","1973","Basic Set",,107,,,,,"https://images.brickset.com/sets/images/1-7.jpg",33,58
7693,"1","8","Minitalia","","1970","Small house set",,67,,,,,"https://images.brickset.com/sets/images/1-8.jpg",28,66
22697,"1","9","System","Basic Set","1969","Set No 1 - Quaker/Life Cereal",,301,,5,,,6,23
9652,"1","10","Samsonite","Model Maker","1971","Mini-Wheel Model Maker No. 1 (Kraft Velveeta)",,86,,,,,"https://images.brickset.com/sets/images/1-10.jpg",23,57
8415,"1","11","Basic","","1981","Basic Souvenir Box",,38,,,,,"https://images.brickset.com/sets/images/1-11.jpg",39,41
7694,"1","12","Minitalia","","1977","Small basic set",,,,,,,"https://images.brickset.com/sets/images/1-12.jpg",17,42
22668,"002","1","Samsonite","Basic Set","1965","4.5V Samsonite Gears Motor Set",,3,,4.95,,,"https://images.brickset.com/sets/images/002-1.jpg",25,36
22684,"2","4","Samsonite","Basic Set","1967","Promotional Set No. 2 (Kraft Velveeta)",,141,,2,,,"https://images.brickset.com/sets/images/2-4.jpg",7,27
7466,"2","7","Universal Building Set","","1973","Basic Set",,184,,,,,"https://images.brickset.com/sets/images/2-7.jpg",71,53
7695,"2","8","Minitalia","","1970","Medium house set",,109,,,,,"https://images.brickset.com/sets/images/2-8.jpg",23,75
22698,"2","9","System","Basic Set","1969","Set No 2 - Quaker/Life Cereal",,159,,2,,,5,22
25549,"2","10","Samsonite","Model Maker","1971","Mini-Wheel Model Maker No. 2 (Kraft Velveeta)",,74,,,,,"https://images.brickset.com/sets/images/2-10.jpg",13,29
7696,"2","11","Minitalia","","1977","Medium basic set",,128,,,,,"https://images.brickset.com/sets/images/2-11.jpg",18,42
22669,"003","1","Samsonite","Basic Set","1966","Master Mechanic Set",,418,,17.95,,,"https://images.brickset.com/sets/images/003-1.jpg",18,31
22685,"3","3","Samsonite","Basic Set","1967","Promotional Set No. 3 (Kraft Velveeta)",,300,,5,,,"https://images.brickset.com/sets/images/3-3.jpg",5,28
7467,"3","4","Universal Building Set","","1973","Basic Set",,184,,,,,"https://images.brickset.com/sets/images/3-4.jpg",54,51
7697,"3","6","Minitalia","","1970","Medium house set",,158,,,,,"https://images.brickset.com/sets/images/3-6.jpg",26,74
22699,"3","7","System","Basic Set","1969","Set No 3 - Quaker/Life Cereal",,156,,2,,,5,22
22724,"3","8","Samsonite","Model Maker","1971","Mini-Wheel Model Maker No. 3 (Kraft Velveeta)",,65,,2,,,"https://images.brickset.com/sets/images/3-8.jpg",11,34
22670,"004","1","Samsonite","Basic Set","1966","Master Builder Set",,670,,19.95,,,"https://images.brickset.com/sets/images/004-1.jpg",26,41
22686,"4","2","Samsonite","Basic Set","1967","Promotional Set No. 4 with Carrying Case (Kraft Velveeta)",,321,,10,,,"https://images.brickset.com/sets/images/4-2.jpg",8,29
7468,"4","3","Universal Building Set","","1973","Basic Set",,230,,,,,"https://images.brickset.com/sets/images/4-3.jpg",41,46
7698,"4","4","Minitalia","","1970","Large house set",,233,,,,,"https://images.brickset.com/sets/images/4-4.jpg",30,84
22725,"4","5","Samsonite","Model Maker","1971","Mini-Wheel Model Maker Set 4 (Kraft Velveeta)",,,,4.75,,,"https://images.brickset.com/sets/images/4-5.jpg",5,34
25534,"4","6","Samsonite","Model Maker","1970","Mini House and Vehicles",,,,,,,4,15
25348,"005","1","System","Basic Set","1965","Basic Building Set in Cardboard",,,,,,,"https://images.brickset.com/sets/images/005-1.jpg",7,18
22687,"5","2","Samsonite","Basic Set","1967","Promotional Set No. 5 (Kraft Velveeta)",,156,,2,,,"https://images.brickset.com/sets/images/5-2.jpg",7,27
